,Total count,Count MascSing,Freq MascSing,Count FemSing,Freq FemSing,Count NeutSing,Freq NeutSing,Count Plur,Freq Plur,Entropy,KL,dist,Count MascPlur,Freq MascPlur,Count FemPlur,Freq FemPlur,Count NeutPlur,Freq NeutPlur
token,141146984,37495141,0.2656460658061245,47926067,0.3395472268822974,21210973,0.15027577918349286,34514803,0.24453092812808525,1.9449159281402844,0.05508407185971578,"[0.2656460658061245, 0.3395472268822974, 0.15027577918349286, 0.24453092812808525]",,,,,,
type,97612,21828,0.22362004671556776,24210,0.2480227840839241,15869,0.16257222472646807,35705,0.3657849444740401,1.9389087474388336,0.06109125256116632,"[0.22362004671556776, 0.2480227840839241, 0.16257222472646807, 0.3657849444740401]",,,,,,
anim_token,1700507,889212,0.5229099321555277,278153,0.16357062922998847,0,0.0,,,1.5222536219072098,0.4777463780927907,"[0.5229099321555277, 0.16357062922998847, 0.29980646948233675, 0.013712969132147059]",509823,0.29980646948233675,23319,0.013712969132147059,0,0.0
anim_type,188,47,0.25,47,0.25,0,0.0,,,2.0,0.0,"[0.25, 0.25, 0.25, 0.25]",47,0.25,47,0.25,0,0.0
