,Total count,Count FemSing,Freq FemSing,Count MascSing,Freq MascSing,Count FemPlur,Freq FemPlur,Count MascPlur,Freq MascPlur,Entropy,KL,dist
token,46196329,16383770,0.354655236782992,15736144,0.34063624406173054,6402720,0.1385980258301477,7673695,0.16611049332512978,1.8849723530042723,0.11502764699572765,"[0.354655236782992, 0.34063624406173054, 0.1385980258301477, 0.16611049332512978]"
type,29732,8029,0.2700457419615229,9357,0.31471142203686264,5266,0.17711556572043588,7080,0.23812727028117853,1.9702181820461395,0.029781817953860912,"[0.2700457419615229, 0.31471142203686264, 0.17711556572043588, 0.23812727028117853]"
anim_token,2126465,326925,0.15374106792258513,1091663,0.5133698414975087,112055,0.052695435852459366,595822,0.28019365472744673,1.6471963922083528,0.3528036077916471,"[0.5133698414975087, 0.15374106792258513, 0.28019365472744673, 0.052695435852459366]"
anim_type,636,159,0.25,159,0.25,159,0.25,159,0.25,2.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
