,Total count,Count MascSing,Freq MascSing,Count FemSing,Freq FemSing,Count MascPlur,Freq MascPlur,Count FemPlur,Freq FemPlur,Count MascDual,Freq MascDual,Count FemDual,Freq FemDual,Entropy,KL,dist
token,25532170,10987960,0.4303574666783121,7711096,0.30201490903436723,4359424,0.17074240066551336,2446347,0.09581430015545095,5187,0.00020315547013826087,22156,0.0008677679962181044,1.816083846845453,0.7688786538757026,"[0.4303574666783121, 0.30201490903436723, 0.17074240066551336, 0.09581430015545095, 0.00020315547013826087, 0.0008677679962181044]"
type,5158,1682,0.3260953858084529,1261,0.24447460255913145,1400,0.27142303218301667,812,0.15742535866614968,2,0.00038774718883288094,1,0.00019387359441644047,1.9613395693241769,0.6236229313969789,"[0.3260953858084529, 0.24447460255913145, 0.27142303218301667, 0.15742535866614968, 0.00038774718883288094, 0.00019387359441644047]"
anim_token,1813007,746164,0.41156156595093124,218929,0.12075463580670125,747504,0.41230066955064154,100410,0.05538312869172596,0,0.0,0,0.0,1.6536271674204912,0.3463728325795086,"[0.41156156595093124, 0.12075463580670125, 0.41230066955064154, 0.05538312869172596]"
anim_type,365,99,0.27123287671232876,91,0.2493150684931507,130,0.3561643835616438,45,0.1232876712328767,0,0.0,0,0.0,1.9129668382208123,0.08703316177918798,"[0.27123287671232876, 0.2493150684931507, 0.3561643835616438, 0.1232876712328767]"
