,Total count,Count MascPlur,Freq MascPlur,Count FemPlur,Freq FemPlur,Count MascSing,Freq MascSing,Count FemSing,Freq FemSing,Entropy,KL,dist
token,120227703,19389541,0.16127348785828505,13224569,0.10999602146603434,47447763,0.3946491683368516,40165830,0.33408132233882903,1.8326107504012288,0.1673892495987712,"[0.16127348785828505, 0.10999602146603434, 0.3946491683368516, 0.33408132233882903]"
type,31566,7510,0.23791421149337896,5519,0.17484001774060698,10043,0.31815877843249063,8494,0.2690869923335234,1.9679826361502692,0.032017363849731126,"[0.23791421149337896, 0.17484001774060698, 0.31815877843249063, 0.2690869923335234]"
anim_token,6280036,1770643,0.2819479060311119,156559,0.02492963416133283,3562914,0.5673397413645399,789920,0.1257827184430153,1.4878905092740107,0.5121094907259898,"[0.5673397413645399, 0.1257827184430153, 0.2819479060311119, 0.02492963416133283]"
anim_type,1126,281,0.24955595026642985,282,0.25044404973357015,281,0.24955595026642985,282,0.25044404973357015,1.9999977242320235,2.275767976487854e-06,"[0.24955595026642985, 0.25044404973357015, 0.24955595026642985, 0.25044404973357015]"
