,Total count,Count MascSing,Freq MascSing,Count FemSing,Freq FemSing,Count MascPlur,Freq MascPlur,Count FemPlur,Freq FemPlur,Count MascDual,Freq MascDual,Count FemDual,Freq FemDual,Entropy,KL,dist
token,8455334,4331917,0.512329495203856,1912721,0.22621471842507937,1362882,0.16118606314073458,816851,0.09660777445338055,19330,0.0022861308613000976,11633,0.0013758179156494587,1.7626849998735417,0.8222775008476145,"[0.512329495203856, 0.22621471842507937, 0.16118606314073458, 0.09660777445338055, 0.0022861308613000976, 0.0013758179156494587]"
type,1131,424,0.3748894783377542,155,0.13704686118479223,247,0.21839080459770116,122,0.10786914235190097,120,0.10610079575596817,63,0.05570291777188329,2.3249661285876035,0.259996372133553,"[0.3748894783377542, 0.13704686118479223, 0.21839080459770116, 0.10786914235190097, 0.10610079575596817, 0.05570291777188329]"
anim_token,1380575,618810,0.44822628252720786,123209,0.08924469876681818,603686,0.4372714267605889,15025,0.010883146515039023,6385,0.0046248845589699945,78,5.649819821451207e-05,1.4597463857251616,1.1252161149959938,"[0.44822628252720786, 0.08924469876681818, 0.4372714267605889, 0.010883146515039023, 0.0046248845589699945, 5.649819821451207e-05]"
anim_type,708,329,0.4646892655367232,37,0.052259887005649715,213,0.3008474576271186,29,0.04096045197740113,89,0.12570621468926554,9,0.012711864406779662,1.9039302168647227,0.6810322838564331,"[0.4646892655367232, 0.052259887005649715, 0.3008474576271186, 0.04096045197740113, 0.12570621468926554, 0.012711864406779662]"
