,Total count,Count MascSing,Freq MascSing,Count FemSing,Freq FemSing,Count MascPlur,Freq MascPlur,Count FemPlur,Freq FemPlur,Entropy,KL,dist
token,229417715,90936534,0.39637973902756374,82303328,0.358748791478461,30743238,0.13400551042886988,25434615,0.11086595906510532,1.8001149788170272,0.1998850211829734,"[0.39637973902756374, 0.358748791478461, 0.13400551042886988, 0.11086595906510532]"
type,40387,12854,0.3182707306806646,10576,0.261866442171986,10047,0.24876816797484338,6910,0.171094659172506,1.9670025981272288,0.032997401872771684,"[0.3182707306806646, 0.261866442171986, 0.24876816797484338, 0.171094659172506]"
anim_token,11257032,6561451,0.5828757526850772,1451611,0.12895148561361466,2867684,0.2547460112043743,376286,0.033426750496933826,1.501439826777741,0.4985601732222597,"[0.5828757526850772, 0.12895148561361466, 0.2547460112043743, 0.033426750496933826]"
anim_type,1361,340,0.24981631153563555,341,0.2505510653930933,340,0.24981631153563555,340,0.24981631153563555,1.9999988322845248,1.1677154751936114e-06,"[0.24981631153563555, 0.2505510653930933, 0.24981631153563555, 0.24981631153563555]"
