,Total count,Count MascPlur,Freq MascPlur,Count FemPlur,Freq FemPlur,Count MascSing,Freq MascSing,Count FemSing,Freq FemSing,Entropy,KL,dist
token,120884503,19455813,0.16094546875044852,15821103,0.13087784296056543,42526997,0.3517985841410954,43080590,0.3563781041478907,1.8688048545588243,0.13119514544117594,"[0.16094546875044852, 0.13087784296056543, 0.3517985841410954, 0.3563781041478907]"
type,21503,4935,0.2295028600660373,4097,0.1905315537366879,6511,0.30279495884295216,5960,0.27717062735432263,1.9780409719988075,0.021959028001192694,"[0.30279495884295216, 0.27717062735432263, 0.2295028600660373, 0.1905315537366879]"
anim_token,3152594,990370,0.3141444791178312,144787,0.045926307034778346,1398992,0.4437590124196138,618445,0.1961702014277766,1.7100173700038845,0.2899826299961153,"[0.1961702014277766, 0.4437590124196138, 0.045926307034778346, 0.3141444791178312]"
anim_type,348,87,0.25,87,0.25,87,0.25,87,0.25,2.0,0.0,"[0.25, 0.25, 0.25, 0.25]"
