,Total count,Count MascSing,Freq MascSing,Count FemSing,Freq FemSing,Count NeutSing,Freq NeutSing,Count MascPlur,Freq MascPlur,Count FemPlur,Freq FemPlur,Count NeutPlur,Freq NeutPlur,Entropy,KL,dist
token,76467551,29246950,0.38247530642115113,22900038,0.2994739297980133,6363993,0.08322475241818585,10571396,0.1382468231524768,5409946,0.07074825764983633,1975228,0.025830930560336633,2.151016978535104,0.4339455221860525,"[0.38247530642115113, 0.2994739297980133, 0.08322475241818585, 0.1382468231524768, 0.07074825764983633, 0.025830930560336633]"
type,38987,11070,0.2839408007797471,8820,0.22622925590581475,2595,0.06656064842126863,8656,0.22202272552389257,6261,0.16059199220252904,1585,0.04065457716674789,2.3546270340643027,0.2303354666568538,"[0.2839408007797471, 0.22622925590581475, 0.06656064842126863, 0.22202272552389257, 0.16059199220252904, 0.04065457716674789]"
anim_token,549157,287608,0.523726366048325,70181,0.12779769719770484,,,182237,0.3318486334509075,9077,0.01652897076792247,,,1.4939514175185895,0.5060485824814104,"[0.523726366048325, 0.12779769719770484, 0.3318486334509075, 0.01652897076792247]"
anim_type,271,73,0.2693726937269373,73,0.2693726937269373,,,69,0.25461254612546125,47,0.17343173431734318,,,1.978964035342698,0.02103596465730223,"[0.2693726937269373, 0.2693726937269373, 0.25461254612546125, 0.17343173431734318]"
