,category,Total count,Count ComSing,Freq ComSing,Count NeutSing,Freq NeutSing,Count Sing,Freq Sing,Count ComPlur,Freq ComPlur,Count NeutPlur,Freq NeutPlur,Count Plur,Freq Plur,Entropy,KL,dist
0,token,42997438,23991860,0.5579834779923399,10157884.0,0.2362439362084782,0,0.0,8847694,0.2057725857991818,8847694.0,0.2057725857991818,8847694,0.2057725857991818,1.430777267196194,0.15418523352496205,"[0.5579834779923399, 0.23624393620847828, 0.2057725857991818, 0.2057725857991818, 0.2057725857991818]"
1,type,42397,21324,0.5029601151024836,7622.0,0.1797768710050239,0,0.0,13451,0.3172630138924924,13451.0,0.3172630138924924,13451,0.3172630138924924,1.4692207415129372,0.11574175920821883,"[0.5029601151024836, 0.17977687100502393, 0.3172630138924924, 0.3172630138924924, 0.3172630138924924]"
2,anim_token,7869393,4533918,0.5761458348820551,,,0,0.0,2479195,0.3150427231172722,,,2479195,0.3150427231172722,0.9371624653345666,0.6478000353865895,"[0.5761458348820551, 0.3150427231172722, 0.3150427231172722]"
3,anim_type,6568,2925,0.445341047503045,,,0,0.0,3004,0.4573690621193666,,,3004,0.4573690621193666,0.9998719296263686,0.5850905710947875,"[0.44534104750304504, 0.4573690621193666, 0.4573690621193666]"
