,Total count,Count Sing,Freq Sing,Count Plur,Freq Plur,Entropy,KL,dist
token,411741299,296499097,0.720110170439813,115242202,0.279889829560187,0.8553006521822919,0.14469934781770813,"[0.720110170439813, 0.279889829560187]"
type,69474,42837,0.6165903791346403,26637,0.3834096208653597,0.9604145775195483,0.03958542248045188,"[0.6165903791346403, 0.3834096208653597]"
anim_token,107355013,69369620,0.6461702910883165,37985393,0.3538297089116835,0.9374418833020631,0.06255811669793702,"[0.6461702910883165, 0.3538297089116835]"
anim_type,11715,11245,0.9598804950917627,470,0.040119504908237305,0.24283984658314928,0.7571601534168507,"[0.9598804950917627, 0.040119504908237305]"
