,Total count,Count MascSing,Freq MascSing,Count FemSing,Freq FemSing,Count NeutSing,Freq NeutSing,Count MascPlur,Freq MascPlur,Count FemPlur,Freq FemPlur,Count NeutPlur,Freq NeutPlur,Count MascDual,Freq MascDual,Count FemDual,Freq FemDual,Count NeutDual,Freq NeutDual,Entropy,KL,dist
token,12983495,3829940,0.29498528708949323,3820214,0.29423618216820663,2063737,0.15895080638918874,1582348,0.12187380978696415,1158074,0.08919585982048747,436410,0.033612675169513294,36156,0.002784766351433108,31929,0.002459199160164501,24687,0.0019014140645488753,2.3683764582004407,0.8015485432418713,"[0.29498528708949323, 0.29423618216820663, 0.15895080638918874, 0.12187380978696415, 0.08919585982048747, 0.033612675169513294, 0.002784766351433108, 0.002459199160164501, 0.0019014140645488753]"
type,23433,6106,0.26057269662441856,5510,0.23513847992147827,1863,0.07950326462680835,4148,0.1770153202748261,3179,0.1356633807024282,642,0.0273972602739726,1070,0.045662100456621,775,0.03307301668587035,140,0.00597448043357658,2.672522912634209,0.4974020888081039,"[0.26057269662441856, 0.23513847992147827, 0.07950326462680835, 0.1770153202748261, 0.1356633807024282, 0.0273972602739726, 0.045662100456621, 0.03307301668587035, 0.00597448043357658]"
anim_token,302300,162794,0.538518028448561,38240,0.12649685742639763,,,92065,0.30454846179292094,6853,0.02266953357591796,,,2206,0.007297386701951704,142,0.0004697320542507443,,,1.5613966699553474,1.023565830765809,"[0.538518028448561, 0.12649685742639763, 0.30454846179292094, 0.02266953357591796, 0.007297386701951704, 0.0004697320542507443]"
anim_type,454,107,0.2356828193832599,106,0.23348017621145375,,,101,0.22246696035242292,63,0.13876651982378854,,,62,0.13656387665198239,15,0.03303964757709251,,,2.4139756660460647,0.17098683467509115,"[0.2356828193832599, 0.23348017621145375, 0.22246696035242292, 0.13876651982378854, 0.13656387665198239, 0.03303964757709251]"
