,Total count,Count ComSing,Freq ComSing,Count NeutSing,Freq NeutSing,Count ComPlur,Freq ComPlur,Count NeutPlur,Freq NeutPlur,Entropy,KL,dist
token,26785332,12588850,0.4699904410369078,5739320,0.21427100474244634,7204046,0.2689548891908452,1253116,0.046783665029800636,1.70440999872255,0.2955900012774498,"[0.4699904410369078, 0.21427100474244634, 0.2689548891908452, 0.046783665029800636]"
type,7890,3392,0.4299112801013942,1111,0.14081115335868188,2584,0.32750316856780737,803,0.1017743979721166,1.784743798513348,0.21525620148665175,"[0.4299112801013942, 0.14081115335868188, 0.32750316856780737, 0.1017743979721166]"
anim_token,3711673,1794843,0.48356711380555345,,,1717352,0.46268946644814885,,,0.999648823800725,0.00035117619927508393,"[0.48356711380555345, 0.46268946644814885]"
anim_type,3100,1558,0.5025806451612903,,,1297,0.41838709677419356,,,0.9939630182100878,0.006036981789912301,"[0.5025806451612903, 0.41838709677419356]"
